subject,session_changed,emotion_changed,EER
12,1,1,0.01987179487179489
13,1,1,0.3485943775100402
14,1,1,0.0832258064516129
15,1,1,0.3445759368836292
16,1,1,0.09696969696969696
1,1,1,0.2343657817109145
2,1,1,0.17464607464607462
3,1,1,0.12926829268292683
4,1,1,0.045161290322580656
5,1,1,0.2633620689655173
6,1,1,0.27602836879432624
7,1,1,0.6584954604409857
8,1,1,0.11620185922974768
9,1,1,0.09861111111111112
10,1,1,0.30226950354609927
11,1,1,0.2616120218579235
12,1,1,0.030015082956259424
13,1,1,0.2834757834757835
14,1,1,0.05107296137339058
15,1,1,0.2983408748114631
16,1,1,0.10728291316526609
1,1,0,0.10606060606060608
2,1,0,0.16212914485165794
3,1,0,0.2066666666666667
4,1,0,0.07766666666666665
5,1,0,0.17772108843537415
6,1,0,0.3164855072463768
7,1,0,0.6275290215588722
8,1,0,0.13754208754208752
9,1,0,0.1046846846846847
10,1,0,0.37766990291262137
11,1,0,0.204739336492891
12,1,0,0.030858085808580873
13,1,0,0.3317543859649123
14,1,0,0.06360544217687072
15,1,0,0.2462157809983897
16,1,0,0.09744897959183677
1,1,1,0.23818181818181816
2,1,1,0.16242937853107345
3,1,1,0.22068126520681264
4,1,1,0.04924242424242422
5,1,1,0.18045112781954886
6,1,1,0.3424936386768448
7,1,1,0.7461942257217848
8,1,1,0.1382513661202186
9,1,1,0.12467191601049868
10,1,1,0.4123123123123123
11,1,1,0.2532786885245901
12,1,1,0.024102564102564117
13,1,1,0.3093827160493827
14,1,1,0.05874316939890708
15,1,1,0.19293785310734465
16,1,1,0.11487603305785121
1,1,1,0.25971223021582734
2,1,1,0.34090909090909094
3,1,1,0.19273182957393484
4,1,1,0.09999999999999998
5,1,1,0.30121654501216544
6,1,1,0.391016548463357
7,1,1,0.6044817927170869
8,1,1,0.2467153284671533
9,1,1,0.05876543209876542
10,1,1,0.48435897435897435
11,1,1,0.1989821882951654
12,1,1,0.04509803921568625
13,1,1,0.36694444444444446
14,1,1,0.14583333333333331
15,1,1,0.3453846153846154
16,1,1,0.1458689458689459
1,1,1,0.22147766323024054
2,1,1,0.41359867330016586
3,1,1,0.18144499178981938
4,1,1,0.13365384615384612
5,1,1,0.2291277258566978
6,1,1,0.3488562091503268
7,1,1,0.630976430976431
8,1,1,0.1971698113207547
9,1,1,0.059242424242424235
